genre,track_count
Rock,14015
Electronic,8288
Pop,7266
"Alternative Rock",5449
"Indie Rock",4743
"Hip Hop",1852
"Hard Rock",1835
House,1645
"Heavy Metal",1638
Synth-Pop,1587
Ambient,1490
"Progressive Rock",1435
"Pop Rock",1326
"New Wave",1225
Soul,1211
"Indie Pop",1043
"Folk Rock",898
Folk,872
Punk,866
Downtempo,848
Classical,797
Jazz,733
"Trip Hop",676
Funk,665
Post-Punk,664
Britpop,662
"Alternative Metal",637
"Art Rock",611
"Psychedelic Rock",601
Trance,598
"Progressive Metal",541
Disco,521
"Contemporary R&B",518
"Modern Classical",500
"Punk Rock",497
Metal,490
Country,477
Experimental,461
Reggae,453
"Blues Rock",410
"Death Metal",410
Idm,410
Techno,388
Dance,379
"Art Pop",368
Dance-Pop,353
Post-Rock,351
Industrial,350
"Thrash Metal",320
Grunge,315
R&B,312
"Symphonic Metal",311
"Big Beat",286
Breakbeat,262
"Indie Folk",261
"Industrial Metal",256
Electro,247
"Nu Metal",246
"Alternative Dance",245
Blues,238
"Pop Punk",236
"Neo Soul",231
Ska,221
"Progressive House",208
Leftfield,204
"Funk Metal",200
"Soft Rock",195
"Glam Rock",191
"Power Pop",189
"Chamber Pop",182
"Rock And Roll",181
Shoegaze,181
"Doom Metal",179
"Euro House",179
Electropop,177
"Stoner Rock",176
"Space Rock",173
"Classic Rock",172
"Alternative R&B",170
Neo-Psychedelia,165
"Baroque Pop",163
"Experimental Rock",163
"Country Rock",162
"Gothic Metal",162
"Garage Rock",158
Electronica,156
"Drum And Bass",153
Afrobeat,149
"Rock Opera",147
"Melodic Death Metal",143
"Dream Pop",141
Singer-Songwriter,137
"Alternative Pop",130
Dance-Punk,124
"Groove Metal",124
"Black Metal",122
Instrumental,122
"Pop Rap",122
"Funk Rock",116
"Deep House",115
"Gothic Rock",112
"Acid House",110
Post-Grunge,107
"Uk Garage",103
"Alternative Country",100
"Hardcore Punk",100
"Pop Soul",100
Dub,97
"Acid Jazz",95
Indie,95
Krautrock,95
"Gangsta Rap",94
Alternative,93
Latin,93
"Post-Punk Revival",92
"Electro House",91
Folktronica,91
Ballad,88
"New Age",87
Dancehall,86
"Alternative Punk",85
Grime,85
Indietronica,78
Swing,77
Jazz-Funk,76
"Conscious Hip Hop",75
"Southern Rock",75
Post-Hardcore,73
"Tech House",72
"Noise Rock",71
Emo,70
Anti-Folk,66
C86,66
"Jangle Pop",66
"Ambient House",65
Breaks,65
"Easy Listening",65
Sophisti-Pop,64
"Progressive Trance",63
Lo-Fi,62
Chillout,61
"Vocal Jazz",61
Bluegrass,60
Edm,60
"Big Band",58
Drone,57
"Folk Punk",57
Psychedelic,56
Mpb,55
"Bedroom Pop",54
Metalcore,54
"Industrial Rock",52
"Psychedelic Soul",52
Grebo,51
Americana,49
"Bossa Nova",49
Orchestral,49
"Spoken Word",49
"Alternativa e indie",47
"Avant-Garde Metal",47
Eurodance,42
"Folk Pop",42
Mod,42
"Art Punk",41
"Glitch Pop",41
"Ambient Pop",39
Aor,39
Europop,37
"Traditional Pop",36
Trap,36
Club,35
"Garage Punk",35
"Alternatif et Indé",34
"East Coast Hip Hop",34
"Smooth Soul",34
Dubstep,33
Grindcore,33
Lounge,33
"Rap Metal",33
Reggae-Pop,33
"Blue-Eyed Soul",32
"Jazz Fusion",31
"Symphonic Black Metal",31
"Symphonic Rock",31
"Acoustic Rock",29
Glam,29
Psychobilly,29
"Chamber Folk",28
"Rock alternativo",28
Rockabilly,27
"Sludge Metal",27
"Afro-Cuban Jazz",26
"Noise Pop",26
"Alternative Hip Hop",25
"Garage Rock Revival",25
"Instrumental Hip Hop",25
Microhouse,25
"Slacker Rock",25
"Alternative & Indie",24
"Contemporary Jazz",23
Deathgrind,23
Djent,23
"New Romantic",23
"Acid Rock",22
"Chicago Blues",22
"Jazz Rock",22
"Rap Rock",22
"New Rave",21
"Psychedelic Pop",21
"Country Pop",20
"Deconstructed Club",20
"Electronic Music",20
"Experimental Hip-Hop",20
"Jazz Rap",20
"Piano Rock",20
"Pop Music",20
Post-Dubstep,20
"Rock Music",20
Dance-Rock,19
"Garage House",19
Noise,19
P-Funk,19
Post-Industrial,19
"Speed Metal",19
"Celtic Punk",18
Jungle,18
"Latin Jazz",18
"Musica alternativa e indie",18
"Ambient Techno",17
"Boom Bap",17
Post-Bop,17
"Stomp And Holler",17
"Christmas Music",16
Comedy,16
Doo-Wop,16
Footwork,16
"Power Metal",16
"Psychedelic Folk",16
"Punk Blues",16
"Alternative and indie",15
"Post Punk",15
"Raï",15
Alt-Country,14
"Bleep Techno",14
"Classical Crossover",14
Elettronica,14
G-Funk,14
"Math Rock",14
"Nu Jazz",14
Podcasts,14
Avant-Garde,13
Brit-Pop,13
"Death-Doom Metal",13
Funktronica,13
"Hardcore Hip Hop",13
Hip-Hop,13
"Hypnagogic Pop",13
Non-Music,13
"Progressive Electronic",13
Rap,13
"Swamp Pop",13
"West Coast Hip Hop",13
"Acid Breaks",12
ambient,12
"Arena Rock",12
BritPop,12
Concerto,12
"Drill And Bass",12
"electronic house",12
"Funky Breaks",12
"indie dance",12
Neosoul,12
"New Orleans R&B",12
"pop poetry",12
"Progressive Soul",12
"Synth Funk",12
"Teen Pop",12
Acoustic,11
Breakcore,11
"Brill Building",11
"Country Blues",11
Electro-Industrial,11
"Ethereal Wave",11
Flamenco,11
"Funky House",11
"Future Garage",11
"Heartland Rock",11
IDM,11
"Minimal Techno",11
"New Jack Swing",11
"Progressive Pop",11
"Stoner Metal",11
Synthpop,11
"Alternativa e Indie",10
"Alternative Folk",10
Chiptune,10
Electroclash,10
"Indépendant",10
Slowcore,10
"Witch House",10
Wonky,10
Boogie,9
"Cloud Rap",9
"Contemporary Folk",9
"Dark Wave",9
"Electronic - Downtempo",9
"Hard Trance",9
Isicathamiya,9
Mbube,9
Opera,9
"Roots Reggae",9
Soukous,9
"Cinematic Classical",8
Education,8
"Goa Trance",8
"Hindustani Classical",8
"Indian Classical",8
"Japanese Classical",8
"Jazz Pop",8
"Minimal Synth",8
"No Wave",8
Psytrance,8
"Traditional Country",8
"Dark Ambient",7
Gospel,7
"Hard House",7
"Latin Pop",7
Musical,7
Post-Britpop,7
"Romantic Classical",7
Salsa,7
"Vocal House",7
Afrobeats,6
Hi-Nrg,6
"Hip House",6
"Neo-Progressive Rock",6
"Nu Disco",6
Qawwali,6
"Soul Jazz",6
"Tropical House",6
"Vocal Trance",6
Baroque,5
"Future House",5
"Hands Up",5
Minimalism,5
Rave,5
"Smooth Jazz",5
Symphony,5
"Atmospheric Drum And Bass",4
Bassline,4
"Diva House",4
Hauntology,4
"Italo House",4
Italo-Disco,4
K-Pop,4
"Lovers Rock",4
Mbalax,4
"Melodic House",4
Motown,4
"Organic House",4
"Progressive Breaks",4
"Surf Rock",4
"Tropicália",4
"Uk Drill",4
"Atmospheric Black Metal",3
"Boogie Rock",3
"Breakbeat Hardcore",3
"Canterbury Scene",3
"Chanson À Texte",3
"Contemporary Christian",3
"Crossover Thrash",3
"Dutch House",3
"Electric Blues",3
"Glam Metal",3
"Happy Hardcore",3
"Italo Dance",3
"Liquid Funk",3
"Northern Soul",3
"Pub Rock",3
Reggaeton,3
Surf,3
"Art Song",2
Ballet,2
"Big Room House",2
Blackgaze,2
Celtic,2
Chillwave,2
"Classical Period",2
"Dancefloor Drum And Bass",2
"Dungeon Synth",2
Euro-Trance,2
"Free Improvisation",2
"Hip Hop - Trip Hop",2
"Instrumental Rock",2
Interview,2
Mathcore,2
"Mod Revival",2
"Nashville Sound",2
Post-Metal,2
"Quiet Storm",2
"Roots Rock",2
"Ska Punk",2
"Southern Soul",2
"String Quartet",2
"Technical Death Metal",2
2-Step,1
52,1
"Afro House",1
"Ambient Dub",1
"Ambient Trance",1
"and soul",1
"Atmospheric Sludge Metal",1
"Avant-Garde Pop",1
"Ballroom House",1
"Bass House",1
Bitpop,1
"British Folk Rock",1
"Broken Beat",1
"Bubblegum Bass",1
"Bubblegum Dance",1
"Bubbling House",1
Cantata,1
"Celtic Rock",1
"Chicago Soul",1
"Children's Music",1
Chill,1
"Christian Metal",1
"Church Music",1
"Classic Country",1
"Cocktail Nation",1
"Country Soul",1
"Country Yodeling",1
Crunk,1
"Dance-Punk Revival",1
"Deep Tech",1
"Deep Techno",1
"Dirty South",1
Drill,1
"Drone Metal",1
Electro-Disco,1
"Electronic - Beatdown",1
"Electronic - Deep House",1
"Electronic - Disco",1
"Electronic - Experimental",1
"Electronic - House",1
"Electronic - Trip Hop",1
"Emo Rap",1
Exotica,1
"Festival Progressive House",1
folktronica,1
Freestyle,1
"Funeral Doom Metal",1
"Funk Brasileiro",1
Hardbag,1
"Hip Hop - Bounce",1
"Hip Hop - Conscious",1
"Hip Hop - Instrumental",1
"Hip Hop - RnB",1
"Hip Hop - Turntablism",1
Hyperpop,1
Impressionism,1
J-Pop,1
"Latin Disco",1
"Latin House",1
Mass,1
Motet,1
Nederpop,1
"Neoclassical Dark Wave",1
"Old School Hip Hop",1
"Operatic Pop",1
Oratorio,1
"Political Hip Hop",1
Powerviolence,1
Proto-Punk,1
"Ragga Hip-Hop",1
Rapcore,1
"Reggae - Dub",1
"Reggae - Reggae",1
"Reggae - Rocksteady",1
"Reggae - Roots Reggae",1
Samba-Jazz,1
"Sea Shanty",1
"Sound Collage",1
"Southern Hip Hop",1
"Space Ambient",1
"Stutter House",1
"Sunshine Pop",1
Tango,1
"Tribal House",1
"trip hop",1
"Viking Metal",1
"Work Song",1
Worldbeat,1

